replicate,graph_null_reciprocal_clique_count,label_swap_case_membership_share
252,2.0,0.5542168674698795
253,0.0,0.42168674698795183
254,3.0,0.5180722891566265
255,1.0,0.6144578313253012
256,0.0,0.5542168674698795
257,1.0,0.4939759036144578
258,0.0,0.4939759036144578
259,0.0,0.5783132530120482
260,0.0,0.5783132530120482
261,0.0,0.6385542168674698
262,3.0,0.6024096385542169
263,2.0,0.42168674698795183
264,2.0,0.6265060240963856
265,3.0,0.4457831325301205
266,0.0,0.39759036144578314
267,2.0,0.6385542168674698
268,0.0,0.40963855421686746
269,1.0,0.6746987951807228
270,1.0,0.4578313253012048
271,0.0,0.5060240963855421
272,1.0,0.46987951807228917
273,1.0,0.3493975903614458
274,0.0,0.39759036144578314
275,2.0,0.43373493975903615
276,0.0,0.5542168674698795
277,0.0,0.4819277108433735
278,1.0,0.43373493975903615
279,1.0,0.46987951807228917
280,0.0,0.5301204819277109
281,1.0,0.39759036144578314
282,1.0,0.5421686746987951
283,1.0,0.4939759036144578
284,1.0,0.46987951807228917
285,2.0,0.4457831325301205
286,0.0,0.3132530120481928
287,0.0,0.43373493975903615
288,1.0,0.5421686746987951
289,1.0,0.37349397590361444
290,1.0,0.46987951807228917
291,0.0,0.5301204819277109
292,0.0,0.3253012048192771
293,0.0,0.5421686746987951
294,0.0,0.6024096385542169
295,0.0,0.5783132530120482
296,2.0,0.5180722891566265
297,0.0,0.5783132530120482
298,2.0,0.5542168674698795
299,1.0,0.4939759036144578
300,0.0,0.4578313253012048
301,0.0,0.5301204819277109
302,0.0,0.3493975903614458
303,0.0,0.46987951807228917
304,0.0,0.5783132530120482
305,0.0,0.39759036144578314
306,4.0,0.5180722891566265
307,0.0,0.5662650602409639
308,0.0,0.3253012048192771
309,1.0,0.5060240963855421
310,0.0,0.5180722891566265
311,0.0,0.46987951807228917
312,1.0,0.46987951807228917
313,0.0,0.4457831325301205
314,0.0,0.5783132530120482
315,0.0,0.5060240963855421
316,0.0,0.4939759036144578
317,3.0,0.5662650602409639
318,2.0,0.5180722891566265
319,1.0,0.4457831325301205
320,0.0,0.5903614457831325
321,0.0,0.5421686746987951
322,1.0,0.5662650602409639
323,0.0,0.3373493975903614
324,2.0,0.5783132530120482
325,1.0,0.5060240963855421
326,0.0,0.43373493975903615
327,2.0,0.40963855421686746
328,1.0,0.43373493975903615
329,1.0,0.5180722891566265
330,1.0,0.5421686746987951
331,0.0,0.5301204819277109
332,0.0,0.6144578313253012
333,1.0,0.4939759036144578
334,0.0,0.5783132530120482
335,0.0,0.4819277108433735
336,0.0,0.39759036144578314
337,0.0,0.4939759036144578
338,0.0,0.39759036144578314
339,1.0,0.5060240963855421
340,0.0,0.43373493975903615
341,1.0,0.40963855421686746
342,0.0,0.5783132530120482
343,0.0,0.4819277108433735
344,0.0,0.5783132530120482
345,1.0,0.43373493975903615
346,1.0,0.6024096385542169
347,1.0,0.5180722891566265
348,1.0,0.5301204819277109
